FIPS,Seats,EPSG
 1, 7,3465
 2, 1,3467
 4, 9,3478
 5, 4,3484
 6,53,3488
 8, 7,3501
 9, 5,3507
10, 1,3509
11, 1,3559
12,27,3513
13,14,3518
15, 2,2782
16, 2,3522
17,18,3528
18, 9,3532
19, 4,3536
20, 4,3540
21, 6,3546
22, 6,3552
23, 2,3554
24, 8,3559
25, 9,3585
26,14,3587
27, 8,3594
28, 4,3597
29, 8,3601
30, 1,3604
31, 3,3606
32, 4,3607
33, 2,3613
34,12,3615
35, 3,3617
36,27,3623
37,13,3623
38, 1,3635
39,16,3637
40, 5,3639
41, 5,3643
42,18,3364
44, 2,3653
45, 7,3655
46, 1,3659
47, 9,3661
48,36,3665
49, 4,3675
50, 1,3684
51,11,3687
53,10,3689
54, 3,3694
55, 8,3695
56, 1,3703
72, 1,2866
